HOURBEGINNING_TIME,JCPL
30-SEP-2021 23:00:00,$33.39
30-SEP-2021 22:00:00,$33.74
30-SEP-2021 21:00:00,$38.77
30-SEP-2021 20:00:00,$42.83
30-SEP-2021 19:00:00,$55.63
30-SEP-2021 18:00:00,$47.88
30-SEP-2021 17:00:00,$63.57
30-SEP-2021 16:00:00,$41.46
30-SEP-2021 15:00:00,$48.27
30-SEP-2021 14:00:00,$43.51
30-SEP-2021 13:00:00,$44.56
30-SEP-2021 12:00:00,$41.25
30-SEP-2021 11:00:00,$41.03
30-SEP-2021 10:00:00,$38.48
30-SEP-2021 09:00:00,$41.35
30-SEP-2021 08:00:00,$47.29
30-SEP-2021 07:00:00,$61.31
30-SEP-2021 06:00:00,$77.44
30-SEP-2021 05:00:00,$33.93
30-SEP-2021 04:00:00,$32.85
30-SEP-2021 03:00:00,$32.71
30-SEP-2021 02:00:00,$32.77
30-SEP-2021 01:00:00,$33.12
30-SEP-2021 00:00:00,$33.51
29-SEP-2021 23:00:00,$34.27
29-SEP-2021 22:00:00,$43.08
29-SEP-2021 21:00:00,$37.54
29-SEP-2021 20:00:00,$37.80
29-SEP-2021 19:00:00,$50.96
29-SEP-2021 18:00:00,$41.60
29-SEP-2021 17:00:00,$57.68
29-SEP-2021 16:00:00,$49.24
29-SEP-2021 15:00:00,$36.58
29-SEP-2021 14:00:00,$37.60
29-SEP-2021 13:00:00,$36.13
29-SEP-2021 12:00:00,$33.98
29-SEP-2021 11:00:00,$35.24
29-SEP-2021 10:00:00,$32.98
29-SEP-2021 09:00:00,$34.55
29-SEP-2021 08:00:00,$34.22
29-SEP-2021 07:00:00,$40.68
29-SEP-2021 06:00:00,$50.43
29-SEP-2021 05:00:00,$35.53
29-SEP-2021 04:00:00,$29.97
29-SEP-2021 03:00:00,$29.95
29-SEP-2021 02:00:00,$29.84
29-SEP-2021 01:00:00,$31.65
29-SEP-2021 00:00:00,$34.51
28-SEP-2021 23:00:00,$34.53
28-SEP-2021 22:00:00,$37.33
28-SEP-2021 21:00:00,$35.77
28-SEP-2021 20:00:00,$45.75
28-SEP-2021 19:00:00,$49.53
28-SEP-2021 18:00:00,$39.97
28-SEP-2021 17:00:00,$65.47
28-SEP-2021 16:00:00,$45.79
28-SEP-2021 15:00:00,$57.27
28-SEP-2021 14:00:00,$39.09
28-SEP-2021 13:00:00,$33.90
28-SEP-2021 12:00:00,$53.75
28-SEP-2021 11:00:00,$135.23
28-SEP-2021 10:00:00,$37.37
28-SEP-2021 09:00:00,$59.00
28-SEP-2021 08:00:00,$42.53
28-SEP-2021 07:00:00,$40.74
28-SEP-2021 06:00:00,$35.08
28-SEP-2021 05:00:00,$29.99
28-SEP-2021 04:00:00,$28.20
28-SEP-2021 03:00:00,$28.71
28-SEP-2021 02:00:00,$29.09
28-SEP-2021 01:00:00,$31.50
28-SEP-2021 00:00:00,$46.51
27-SEP-2021 23:00:00,$46.37
27-SEP-2021 22:00:00,$35.14
27-SEP-2021 21:00:00,$36.70
27-SEP-2021 20:00:00,$40.18
27-SEP-2021 19:00:00,$73.59
27-SEP-2021 18:00:00,$49.16
27-SEP-2021 17:00:00,$406.17
27-SEP-2021 16:00:00,$97.21
27-SEP-2021 15:00:00,$49.76
27-SEP-2021 14:00:00,$39.65
27-SEP-2021 13:00:00,$34.88
27-SEP-2021 12:00:00,$33.07
27-SEP-2021 11:00:00,$28.15
27-SEP-2021 10:00:00,$27.90
27-SEP-2021 09:00:00,$28.39
27-SEP-2021 08:00:00,$28.46
27-SEP-2021 07:00:00,$28.20
27-SEP-2021 06:00:00,$26.07
27-SEP-2021 05:00:00,$22.07
27-SEP-2021 04:00:00,$22.98
27-SEP-2021 03:00:00,$20.55
27-SEP-2021 02:00:00,$22.36
27-SEP-2021 01:00:00,$24.13
27-SEP-2021 00:00:00,$24.85
26-SEP-2021 23:00:00,$25.56
26-SEP-2021 22:00:00,$28.76
26-SEP-2021 21:00:00,$27.72
26-SEP-2021 20:00:00,$30.34
26-SEP-2021 19:00:00,$36.98
26-SEP-2021 18:00:00,$40.58
26-SEP-2021 17:00:00,$29.16
26-SEP-2021 16:00:00,$25.03
26-SEP-2021 15:00:00,$15.47
26-SEP-2021 14:00:00,$12.15
26-SEP-2021 13:00:00,$21.79
26-SEP-2021 12:00:00,$27.76
26-SEP-2021 11:00:00,$27.39
26-SEP-2021 10:00:00,$27.76
26-SEP-2021 09:00:00,$27.40
26-SEP-2021 08:00:00,$27.19
26-SEP-2021 07:00:00,$27.13
26-SEP-2021 06:00:00,$27.95
26-SEP-2021 05:00:00,$26.99
26-SEP-2021 04:00:00,$26.46
26-SEP-2021 03:00:00,$26.64
26-SEP-2021 02:00:00,$27.16
26-SEP-2021 01:00:00,$28.00
26-SEP-2021 00:00:00,$28.12
25-SEP-2021 23:00:00,$32.95
25-SEP-2021 22:00:00,$29.51
25-SEP-2021 21:00:00,$38.82
25-SEP-2021 20:00:00,$41.81
25-SEP-2021 19:00:00,$62.25
25-SEP-2021 18:00:00,$35.35
25-SEP-2021 17:00:00,$39.72
25-SEP-2021 16:00:00,$43.70
25-SEP-2021 15:00:00,$30.06
25-SEP-2021 14:00:00,$29.06
25-SEP-2021 13:00:00,$27.95
25-SEP-2021 12:00:00,$27.14
25-SEP-2021 11:00:00,$28.50
25-SEP-2021 10:00:00,$31.11
25-SEP-2021 09:00:00,$29.72
25-SEP-2021 08:00:00,$24.85
25-SEP-2021 07:00:00,$31.59
25-SEP-2021 06:00:00,$30.93
25-SEP-2021 05:00:00,$38.04
25-SEP-2021 04:00:00,$29.72
25-SEP-2021 03:00:00,$29.80
25-SEP-2021 02:00:00,$30.27
25-SEP-2021 01:00:00,$27.20
25-SEP-2021 00:00:00,$27.38
24-SEP-2021 23:00:00,$30.20
24-SEP-2021 22:00:00,$30.21
24-SEP-2021 21:00:00,$29.95
24-SEP-2021 20:00:00,$31.23
24-SEP-2021 19:00:00,$43.40
24-SEP-2021 18:00:00,$42.59
24-SEP-2021 17:00:00,$40.65
24-SEP-2021 16:00:00,$42.33
24-SEP-2021 15:00:00,$37.55
24-SEP-2021 14:00:00,$35.40
24-SEP-2021 13:00:00,$31.24
